eXoID	Folder	Zipfile	ZipSize	Game	Year	Developer	Publisher	Genre	Description	Series	Region	Rating	PlayMode	Manual	Favorite	xmlID
178w	JSKRead	Jump Start Kindergarten Reading (1996).zip	323028297	JumpStart Kindergarten Reading	1996	Knowledge Adventure, Inc.	Knowledge Adventure, Inc.	Education	Hopsalot, the Jump Start bunny, is showing off his Great Grandrabbit's gramophone, when he is suddenly pulled right into the gramophone's trumpet and into the Land of Music, hot on the trail of a batch of sour notes. It appears that the evil Sir Sournote has soured all the music; Hopsalot must travel throughout the Land of Music collecting all the ruined notes in his bag, and bring them to the Concert Hall to sweeten them again.The interface is point and click on the map screen (simply moving the mouse on the screen will cause Hopsalot to follow; click to enter a game) and in the mini-games, with the addition of certain keyboard keys: spacebar in the rhythm games, left and right sides of the keyboard and the enter key in the Jam With Cool Cat game.As you move Hopsalot around the Land of Music map, you'll find these activities:   Music Monkey û view a short piece of music and listen to it, then find the notes that Sir Sournote has replaced with sour ones  Gorilla, Goat and Hippo û Listen to a character play a rhythm and then play it back using the spacebar  Young Girl û Listen to Melody play sounds, then repeat them; play your own music on the bridge and hear it played back   Musical Instruments û these instruments have lost their voices; choose the bird that sounds like each instrument to replace it  Cool Cat û Jam with Cool Cat in free play using the keyboard, then play it back by clicking the gramophone  After successfully playing an activity, Hopsalot  is given the opportunity to collect some sour notes in his bag û the cursor becomes a grasping hand and you must catch the notes as they dart around the screen in a mini arcade game. On each map screen, although the activities remain basically the same the difficulty level is increased, for example, instead of finding the voice for one instrument you will have two; the number of beats you have to follow in a rhythm game will increase, as will the number of sour notes to find in a piece of music. Once you have collected all the sour notes in an area it glows red on the map, so you know how much you've done. In addition, clicking on the music note on the bottom right of the screen brings up the options, where you can click on Hopsalot's bag to see how many sour notes have been collected.When all the sour notes are collected and brought to the Concert Hall to be sweetened, Hopsalot presents you with a Sweet Note award that can be printed.	Educational: Reading; JumpStart series			Single Player		false	bdd36c3f-5f09-f16e-b857-577891876621	
184w	MPAction	Moving Puzzle - Action Flights (1998).zip	220126437	Moving Puzzle: Action Flights	1998	Haemimont Games AD	Ravensburger Interactive Media GmbH	Puzzle	Did you ever puzzle a video? Just imagine a video that has been cut into little square pieces. The individual squares have been scrambled, rotated or even mirrored. How quickly can you put the video clip back together? Test your puzzle skills. If you succ	Genre: Jigsaw puzzle; Moving Puzzle series			Single Player	Moving Puzzle - Action Flights (1998).pdf	false	a1c90f27-5745-9f1d-08bb-bb89bbcb808d	
835w	LGLeJeu	Guignols De L'Info, Les...Le Jeu ! (1995).zip	503067241	Les Guignols De L'Info...Le Jeu !	1995	In Visio	Canal+Multimédia	Adventure	Les Guignoles De L'Info...Le Jeu ! is a Point & Click game based on a French Satiric TV Program. You are a new TV reporter freshly engage in the WCI, an information Channel, and you must provide great scoop from different famous people coming from Sports, Politics, Movies, etc...Your Aim is to make a maximum of hearing to take the place of the main presenter: PPDA. There's no inventory. You only have a Video camera and a limited battery. You have to record Pictures and/or sounds in the theme of your mission briefing but there a lot of thing to check from a lot's of character. The choice is not easy and you have a limited time to do that. There's sometimes some puzzle part like "portrait robot" to do or right dialog to choose.	Les Guignols De L'Info series		Not Rated	Single Player	Guignols De L'Info, Les...Le Jeu ! (1995).pdf	false	8e555e2c-3208-7d78-ef4f-4f92dcd7d1f8	
39w	TravTim	Travel the World with Timmy! (1998).zip	343851824	Travel the World with Timmy	1998	Edmark Corporation	Edmark Corporation	Adventure;Education	This computer game offers kids a wonderfully interactive passport to the sights, sounds and customs of three diverse countries--Argentina, Japan and Kenya. With its colorfully illustrated vocabulary exercises, fun games and puzzles, maps, and changeable costumes and backgrounds, the game keeps the players so entertained they could easily forget they are learning a thing or two about other cultures. - See more at: http://www.parents-choice.org/product.cfm?product_id=352&StepNum=1&award=aw#sthash.10BJIlQr.dpuf	Educational: Geography			Single Player		false	7391891e-ed25-b7a1-9782-8297156162d1	
1043w	RRabb2	Reader Rabbit 2 (1993).zip	258861000	Reader Rabbit 2	1993	The Learning Company, Inc.	The Learning Company, Inc.	Education	Reader Rabbit 2 is a game in the award winning Reader Rabbit series by The Learning Company. When the town of Word-Ville is running out of words Reader Rabbit and his mouse friend Matt try to collect words from four different activities: Vowel Pond, Word Mine, Word Patch and Alphabet Dance. Children ages 6-8 learn about Phonics, Letter Recognition and Alphabetizing skills.	Educational: Reading; Reader Rabbit series		Not Rated	Single Player		false	f1aa983b-e9e3-5a88-ebfc-fcb585a68d12	
164w	WizGold	Wizardry Gold (1996).zip	729547090	Wizardry Gold	1996	Sir-Tech Software	Sir-Tech Software	Role-Playing	Wizardry Gold is an upgraded version of Wizardry: Crusaders of the Dark Savant placed on a CD. Enhancements to the base game include new animations, new sound effects and digital speech, mouse driven interface, automap feature, online manual, and in-game interactive hint guide.	Enhanced remakes; Theme: Fantasy; Theme: Sci-Fi; Wizardry games		E - Everyone	Single Player	Wizardry Gold (1996).pdf	false	02c534dc-775c-5ae3-27fb-fb627c7cabbc	
176w	FishDel	Fisherman's Delight (1996).zip	45313676	Fisherman's Delight	1998	Jacobson Software	Jacobson Software	Life Simulation	Fisherman's Delight-Set One is a fishing simulation.  It offers seven fresh-water and two salt-water locations for your fishing enjoyment.  A dozen species of fish wait to be caught in these waters.  A variety of tackle is available to you, including rods and reels, lines, and baits.  And you can still fish or cast-and-retrieve.  The fishing process is described in the easy steps listed under the Basic Fishing Sequence below and in greater detail under the Detailed Fishing Sequence.			Not Rated	Single Player		false	da31b9a6-73d6-f333-6f28-2886eaf7aef4	
498w	ChopSuey	Chop Suey (1995).zip	160588853	Chop Suey	1995	Magnet Interactive Studios, Inc.	Magnet Interactive Studios, Inc.	Adventure;Education	This colorful interactive storybook was designed for girls aged 7-12 but can be enjoyed by almost anyone.  Two little girls, Lily and June Bugg, explore the small town of  Cortland, Ohio  with narration by National Public Radio's David Sedaris.  You can click anywhere on the map of the town to explore buildings, houses and roads.  The girls eat too much chop suey at the Ping Ping Palace then daydream while staring at the clouds which turn into different shapes.  You use the mouse to explore all areas of the screen.  When everything has been looked at, the cursor will turn into a moon shape.  Follow the pointing finger to yet another activity.   You can also visit your favorite aunt's bedroom with the black dog Mud Pup and try on her clothes and makeup where items tell of her past life as a Rockette on Broadway.  The girls pretend they are angels and fly to New York.  You can also visit the room of Aunt Vera's son Dooner who has grafitti on the walls, a diary you can read, and magazines and records spread throughout.   You can also go on a picnic with Aunt Vera and her boyfriend Ned.  They also visit a Bingo Hall where the game can be played.  They visit Madame Mystery, a fortune teller, who can answer yes-or-no questions.  Visiting a carnival will allow you to play various games like Dunk The Clown, and Games Of Luck while at the Big Top you can see Queen Kong and the Mutant Creatures Side Show.			E - Everyone	Single Player		false	14dfebc3-44e6-9f72-2ac1-c1b6c672ee38	
903w	DrFloyd	MicroProse Entertainment Pack Vol #1 - Dr Floyd's Desktop Toys (1993).zip	33563032	MicroProse Entertainment Pack Vol #1: Dr Floyd's Desktop Toys	1993	MicroProse Software, Inc.	MicroProse Software, Inc.	Arcade;Puzzle	A collection of various "wacky" games for Windows. Apparently designed for use in an office environment (?). Decode cryptograms, play Whack-A-Mole type games, hunt snarks (shades of the 70's!).				Single Player		false	1addb71c-c88b-34e7-c4dd-dd606566aa4f	
1362w	MSWoP	Microsoft Explorapedia - The World of People (1995).zip	514201360	Microsoft Explorapedia: The World of People	1995	Microsoft Corporation	Microsoft Corporation	Education;Reference	Explorapedia provides a world of learning that beckons students with its playful and friendly air. Explorapedia was designed to encourage exploration and to reward inquiry. With just a click of the mouse, students can learn how wolves hunt or why penguins look like they are wearing tuxedos. Or they can trigger a brief animation to see some of histories greatest thinkers. For those needing help with reading (or just desiring the reassurance of another voice), narration by children can be turned on or off for all of the text that appears on the screen. With the signposts and the pop-up “see also” list, young minds can smoothly move from one fascinating – and educating – topic to the next, taking whatever path they desire. Along the way they will be increasing their knowledge of people and rediscovering the fun of reading. And they will also be acquiring the concepts of research and cross-referencing of subjects. Along the way they will learn how one part of social studies is related to the whole of world and its history.	Microsoft Home series			Single Player		false	09d06925-145d-ac06-4ad8-d8f0e4400d5d	
1078w	SGolf3x	Sensible Golf (1994).zip	27397251	Sensible Golf	1994	Sensible Software	Virgin Interactive Entertainment, Inc.	Sports	Sensible Golf is a 2D golf simulation.Having been quite successful with their cute action soccer game Sensible Soccer, Sensible Software decided that the concept of "No fuss, just fun" could be applied to other sports, too. They chose golf.Sensible Golf is not an accurate simulation of golf, but an action adaptation of the sport streamlined for quick and easy gameplay. Consequently, complications such as wind and terrain heights are not featured, although the green has little arrows indicating the slopes. Apart from that, the player's only concerns are the water and sand hazards, and the distance to the hole. As a result, Sensible Golf is instead a practice in target shooting, rather than a golf game.Striking involves only two action: Aiming the pointer in the desired direction, and pressing the action button three times. The game uses the well-known three-click-control, with which you set power and swerve of the strike. The computer automatically suggests a proper club, but the player may change it manually. A pop-up map helps one find their bearing. The courses are fictional, composed from a pool of holes which often appear in multiple courses, sometimes with minor variations. Play modes include single 18-hole rounds, a complete season and a tournament. Up to 72 human players may participate in the latter.	Sports: Golf; Sensible Sports games		Not Rated	Multiplayer; Single Player		false	0aa9eff7-8fc9-41dc-4437-371bbf6d05fe	
743w	G-Netix	G-Netix (1995).zip	36668944	G-Netix	1995	ISM, Inc.	ISM, Inc.	Education;Simulation	G-Netix allows to participate in growing of a human embryo. By affecting environmental conditions (oxygen, pH, hydrogen levels) and changing the gene structure itself it's possible to observe the growth of a single cell into a complex organism. Each action evokes a response from an embryo, ranging from death to unusual mutations (i.e. a simple change in chromosome chain may develop insect-like eyes).[13][10][13][10]The player is a scientist who is circling the earth in a space laboratory. During the journey, a deadly virus hits earth and wipes out the entire human population in a few days. With no one left, it is the scientist's job to recreate life and control the conditions to let new embryos grow and evolve.[13][10][13][10]The game is bundled with an extensive summary on genetics including such subjects as DNA Replication, Mutation, Cell Division and Cell Cycle, etc.	Educational: Science		Not Rated	Single Player	G-Netix (1995).pdf	false	4e267b8f-8fea-8237-4d1a-1a829cfd7e0b	
1355w	MSArtG	Microsoft Art Gallery (1993).zip	345842437	Microsoft Art Gallery	1993	Microsoft Corporation	Microsoft Corporation	Education;Reference	Microsoft Art Gallery takes you on an interactive tour of London's National Gallery. More than 2,000 works of art, each displayed in 640x480 resolution, are featured by such artists as Leonardo da Vinci, Vincent van Gogh, Claude Monet, and Rembrandt van Rijn. Paintings are indexed by pictorial type, subject, locale, and era, and the program offers a full glossary of terms and names. The presentation is divided into five parts: Artist's Lives, Historical Atlas, Picture Types, General Reference, and Guided Tours. Narrated tours focus on composition and perspective, making paintings, paintings as objects, and a look beneath the varnish.	Microsoft Home series			Single Player		false	0dc6d697-1ed5-d871-44aa-aadc90a60242	
1373w	Escher	Escher Interactive - Exploring the Art of the Infinite (1996).zip	419965804	Escher Interactive: Exploring the Art of the Infinite	1996	Eyeware Interactive	Eyeware Interactive	Education;Puzzle;Reference	Escher Interactive: Exploring the Art of the Infinite is a comprehensive look at the life and works of this extraordinary personage. It contains biographical information, games and puzzles, but most of its scope is dedicated to visual exploration of Escher's exceptional contribution to the art world.[13][10][13][10]The whole of Escher's graphic work and many of his drawings may be viewed in the game's Gallery section. You may scan the images chronologically, or use a search term to find particular subjects. Since many works have a tremendous amount of fine detail, you may enlarge the images to explore any portion therein.			Not Rated	Single Player		false	22680011-3b4e-de56-63b1-b1d73eb2d0d9	
1201w	THiNK-X	THiNK-X (1996).zip	186135958	THiNK-X	1996	JoWood Ebensee	Macmillan Digital Publishing USA	Puzzle	THiNK-X is a puzzle game in which you have to clear playing fields by matching identical objects in a limited amount of time. Items can be matched horizontally and vertically as doublets, or as triplets as long as three of a kind touch, but not diagonally. You have to plan carefully, as no objects are to remain at the end of the game. Items are moved by clicking them and assigning a new position on a horizontal line. If you make a mistake, you can rebuild the original lay-out, but time keeps running.[13][10][13][10]There are 168 levels divided over 28 playing fields with 6 difficulty modes. An increased difficulty is not only reflected in the amount of time, but also by different blocks and items with special features, making all the levels unique. There are toys in the Easy mode, numbers in Medium, letters in Hard and Extreme, coloured ducks in Funny, and in Tricky you play with vases that turn into blocks when matched.				Single Player		false	e92ee240-08dc-22ed-7235-35ef6b7d85b3	
117w	ERTHINV	Earth Invasion (1993).zip	35690357	Earth Invasion	1993	3DI Productions, Inc.	3DI Productions, Inc.	Action;Shooter	With Earth Invasion, users can experience Windows as an arcade platform running high-speed action with true color and superior graphics quality at a value unsurpassed by other entertainment products.[13][10]"Many consumers are migrating to PCs from Nintendo, Sega, and other game machines and they now expect similar or better quality entertainment from their new PCs" said Bryan Brandenburg, president of 3DI. "Earth Invasion will bring sound and animation quality to Windows which surpasses that found in commercial arcades.	Genre: Fixed-screen shoot 'em up		Not Rated	Single Player		false	70d069d0-46a6-e08e-4f13-1332df74c310	
979w	PBABowli	PBA Bowling (1995).zip	52046916	PBA Bowling	1995	Bethesda Softworks LLC	Bethesda Softworks LLC	Sports	This is the first in a series of Bowling games for the PC sanctioned by the Professional Bowlers Association.Game selections include: individual, practice, team and league style games. Players begin by selecting their bowler from one of the fully digitized male and female characters available. Adjustments can be made to whether they are left or right handed, the colour of clothes and skill level (beginner, intermediate or pro).  The main game screen shows the bowler on the approach and uses several smaller windows to give a fine tune control over aiming, power and spin control. As with many bowling games, a close-up of the ball striking the pins is shown. The game is able to be played alone or supports up to 4 players total.	Sports: Bowling			Multiplayer; Single Player		false	350755a3-bf0f-d1c3-e349-4943d4d1a5a9	
1029w	qfg43x	Quest for Glory IV - Shadows of Darkness (1993).zip	592578080	Quest For Glory IV: Shadows of Darkness	1993	Sierra On-Line, Inc.	Sierra On-Line, Inc.	Action;Adventure;Role-Playing	Shadows of Darkness is the fourth Quest for Glory game. It is a journey into the land of Mordavia - a setting influenced by Eastern Europe, particularly its Slavic areal. The hero had just begun to enjoy his victory in Tarna, when a spell zapped him into parts unknown, without a weapon, items, or even a source of light. Shortly after finding his way out of the dark cave, the hero meets a mysterious woman named Katrina. He traverses the swamps in the dark forest and finally reaches the town. However, the town is also engulfed by a foreboding atmosphere, and the hero cannot allow himself to relax. He must find out what is going on, why the town inhabitants are so hesitant and reluctant to help him, and what horrors are lurking outside of its walls. Life has never been quite so dangerous for our hero. He'll discover his quest soon enough - that is, if he lives.Like the previous Quest For Glory titles, the game is a combination of puzzle-solving adventure and role-playing. The player character can be a fighter, a thief, a magician, or a paladin. Importing a character from a preceding installment of the series is also possible. Once again the hero improves his skills by repeatedly using them (like throwing stones at a tree to improve the throwing ability, which might be needed to solve a puzzle). Combat system in this installment has undergone a major change. Battles are viewed from a side-scrolling perspective and are action-oriented. The protagonist is able to move freely, jump, and execute attacks and defensive moves, similarly to fighting games. The CD version of the game adds voice-overs to conversations as well as narrator's voice to text descriptions.	Quest for Glory series		Not Rated	Single Player		true	57233360-509a-e0c4-3a7a-7a981477095f	
330w	gmlmmc	Great Myths and Legends Volume 1 - Monsters and Mythical Creatures (1995).zip	333778676	Great Myths & Legends Volume 1: Monsters & Mythical Creatures	1995	EMME Interactive SA	Cambrix Publishing	Adventure	Come face to face with the terrible monsters and strange creatures of myth and legend: the Yeti, Minotaur, Loch Ness Monster, Cyclops, Leviathan, Pegasus, Golem, Unicorn, Gorgons, and Phoenix. The CD-ROM is supposed to be an authoritative look at the history and origins of these beasties. Includes: virtual 3D environments for each creature, 3D animation, video, narration, color illustration and original and historical documents. It begins in a castle with four doors, two of which are designed to take you to the sections on "Legendary Lands and Lost Cities" and "Legendary Heroes and Villains" available as further volumes in the series. When you get to the end of the corridor, you find yourself outside with several glowing gems embedded in the terrain. Clicking on one will take you to a section on one (or more) of the monsters. It takes a bit of stumbling around to discover which creature is tied to which gem. After you've gathered all your information about a creature, the game treats you to an animation of what it was supposed to look like. The music is appropriately ominous, the graphics are beautifully detailed (you'll need to know how to switch your monitor to at least 32,000 colors) and narrator Patrick Floersheim, dressed as a monk, is appropriately hammy.			Not Rated	Single Player	Great Myths and Legends Volume 1 - Monsters and Mythical Creatures (1995).pdf	false	ffcc5581-004b-c127-b6d3-d3a84e968234	
165w	ICBAAD	I Can Be an Animal Doctor (1997).zip	346200396	I Can Be an Animal Doctor	1998	Cloud Nine Entertainment	Macmillan Digital Publishing USA	Education	I Can Be an Animal Doctor is an educational game that teaches children how to be a veterinarian. In this game, Addie the Kangaroo, Rufus the Dog, and Katie the Chameleon, help you while you are playing. Your job is to help Doctor Max Rigby, who has many sick animals in her animal park. Doctor Rigby takes you to a map in her ranch house, which shows you the four areas you can explore. There is the Savanna, the Farm, the Forest, and the Desert to explore. Once you enter an area, you can either find a sick animal or play a mini-game. Once you click on a sick animal, you go to the field hospital to check up on the animal. There are many tools to use, such as a x-ray, a scale, a thermometer, a microscope, and a stethoscope. Once you find what is wrong with the animal, you give it the correct treatment so it can heal. Once the animal heals, you will get a certificate and a letter from the animal showing that it is all better. The six mini-games are accessed in either the map or the Activity Center, including Weigh Cool, Ordering Life Cycles, Desert Treasures, Animal Crackers, Feeding Frenzy, and Animal Artistry. Every single mini-game has two difficulty settings except for Animal Artistry, which is a creativity game. There are also many things to do in the ranch house, such as reading about famous doctors, clicking on fun surprises, and a glossary which teaches you words that are found in the game.	Educational: Science		Not Rated	Single Player		false	1039f5c6-cebd-7575-ee01-01fe685f0c6a	
433w	PipeDr3x	Pipe Dream (1991).zip	24192862	Pipe Dream (1991)	1991	The Assembly Line	Microsoft Corporation	Puzzle	Each level of this abstract puzzler challenges the player to set up a network of pipes to allow an unspecified substance known as 'flooz' to flow through as many of those as possible. The pieces are offered in random order, and there are seven different types - straight lines going horizontally or vertically, corners rotating in each of the four directions, and cross-over pieces which carry the flooz straight across horizontally and vertically. Each of these can be entered from either side. When the flooz hits a gap, or a piece which the previous piece can't flow into, the pipe is finished.Before the flooz starts flowing from its randomly-selected starting position, the player has several seconds to start placing pieces. They can be put down anywhere. However a situation that can often occur is there will be a long and complex piping arrangement set up, yet a gap somewhere remains to be filled. Players are able to  replace a piece with another in the same square (to make it easier to flow the flooz that way), but for a slight scoring penalty.Bonuses are awarded for looping the flooz through both sides of at least 5 cross-over pieces, or passing the flooz through every square on the screen. Later levels have some squares on the grid blocked off, a few gaps in the side-wall (allowing flooz to thread to the other side of the screen). After every four levels there is a bonus game for points, in which the player can only place the pieces in the lowest open space in each column, similarly to the board game of "Connect 4".	Genre: Falling block puzzle; Pipe Dream / Pipe Mania series			Single Player		false	24f74c1c-11c6-5f0b-9fce-ce480524be19	
70w	dinonaut	Dinonauts (1995).zip	132058018	Dinonauts: Adventures in Space	1995	Orbital Studios, Inc.	Virgin Interactive Entertainment, Inc.	Adventure;Education	This involves a stalwart group of dinosaurs who travel in space looking for a new planet to inhabit. Weird? Just remember this is a kid's game so suspend your belief. I'd describe this as being something of a non-linear interactive storybook. Rather than it being read in a linear fashion, the game's story is decided by the player as to which order of planets they want to explore. It also includes a number of interactive activities (or minigames) which aren't essential to advance the story, but are mostly there for the sake of livening up to the game's format. So it's a storybook with some adventure gaming elements in it.	Educational: Science		Not Rated	Single Player		false	e4ff5f5b-9f73-b7e8-4fa5-a5a711637628	
